authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
1,1189,"Dochtermann, Ned A.",3,"Univ New South Wales, Sch Math & Stat, Sydney, Australia.",univ new south wales,sch math & stat,NA,sydney,NA,australia,NA,NA,NA,WOS:001428943000001,1,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
2,2,"Mccune, Kelsey B.",1,"Auburn Univ, Coll Forestry Wildlife & Environm, Auburn, AL 36830 USA.",auburn univ,coll forestry wildlife & environm,36830,auburn,al,usa,NA,NA,0000-0003-0951-0827,WOS:001428943000001,1,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
3,3,"Nakagawa, Shinichi",5,"Univ New South Wales, Evolut & Ecol Res Ctr, Sydney, NSW, Australia.",univ new south wales,evolut & ecol res ctr,NA,sydney,NA,australia,NA,NA,0000-0002-7765-5182,WOS:001428943000001,1,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
4,8194,"Schielzeth, Holger",4,"North Dakota State Univ, Dept Biol Sci, Fargo, ND USA.",north dakota state univ,dept biol sci,NA,fargo,nd,usa,NA,NA,NA,WOS:001428943000001,1,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
5,33400,"Williams, Coralie",2,"Univ New South Wales, Evolut & Ecol Res Ctr, Sydney, NSW, Australia.",univ new south wales,evolut & ecol res ctr,NA,sydney,NA,australia,NA,NA,0000-0003-1312-4953,WOS:001428943000001,1,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
6,6,"Doolittle, Emily L.",5,"Royal Conservatoire Scotland, Glasgow, Scotland.",royal conservatoire scotland,NA,NA,royal conservatoire scotland,NA,scotland,NA,NA,NA,WOS:001422664900001,2,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
7,5521,"Kriengwatana, Buddhamas P.",1,"Dept Biosyst, Div Anim & Human Hlth Engn Leuven, Div Anim & Human Hlth Engn, Leuven, Belgium.",dept biosyst,div anim & human hlth engn leuven,NA,leuven,NA,belgium,NA,NA,NA,WOS:001422664900001,2,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
8,26937,"Nager, Ruedi G.",2,"Univ Glasgow, Coll Biomed Vet & Life Sci, Sch Biodivers, One Hlth & Vet Med, Glasgow, Scotland.",univ glasgow,coll biomed vet & life sci,NA,NA,NA,scotland,NA,NA,NA,WOS:001422664900001,2,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
9,9,"South, Alex",3,"Royal Conservatoire Scotland, Glasgow, Scotland.",royal conservatoire scotland,NA,NA,royal conservatoire scotland,NA,scotland,NA,JQJ-2289-2023,NA,WOS:001422664900001,2,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
10,10,"Ullrich, Martin",4,"Nuremberg Univ Mus, Nurnberg, Germany.",nuremberg univ mus,NA,NA,nurnberg,NA,germany,NA,KDM-9691-2024,NA,WOS:001422664900001,2,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
11,16671,"Anderson, Michael G.",2,"Massey Univ, Sch Nat Sci, Auckland Campus, Auckland, New Zealand.",massey univ,sch nat sci,NA,auckland,NA,new zealand,NA,NA,NA,WOS:001435124700001,3,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
12,15454,"Attisano, Alfredo",1,"Polish Acad Sci, Museum & Inst Zool, Warsaw, Poland.",polish acad sci,museum & inst zool,NA,warsaw,NA,poland,NA,NA,NA,WOS:001435124700001,3,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
13,13,"Gula, Roman",4,"Polish Acad Sci, Museum & Inst Zool, Warsaw, Poland.",polish acad sci,museum & inst zool,NA,warsaw,NA,poland,NA,NA,NA,WOS:001435124700001,3,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
14,2635,"Langmore, Naomi E.",3,"Australian Natl Univ, Res Sch Biol, Canberra, Australia.",australian natl univ,res sch biol,NA,canberra,NA,australia,NA,NA,NA,WOS:001435124700001,3,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
15,15,"Theuerkauf, Jorn",5,"Polish Acad Sci, Museum & Inst Zool, Warsaw, Poland.",polish acad sci,museum & inst zool,NA,warsaw,NA,poland,NA,NA,0000-0002-7273-3073,WOS:001435124700001,3,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
16,16,"Karasch, Brooke",1,"Ball State Univ, Dept Biol, Muncie, IN 47306 USA.",ball state univ,dept biol,47306,muncie,in,usa,NA,NA,NA,WOS:001394521100001,4,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
17,17,"Ward, Jessica",2,"Ball State Univ, Dept Biol, Muncie, IN 47306 USA.",ball state univ,dept biol,47306,muncie,in,usa,NA,NA,0000-0001-9865-8027,WOS:001394521100001,4,J,2025,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
18,18,"Barta, Zoltan",2,"Univ Debrecen, Dept Evolutionary Zool & Human Biol, Debrecen, Hungary.",univ debrecen,dept evolutionary zool & human biol,NA,debrecen,NA,hungary,NA,NA,0000-0002-7121-9865,WOS:001297854700001,5,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
19,4459,"Caspers, Barbara A.",4,"Bielefeld Univ, Dept Behav Ecol, Bielefeld, Germany.",bielefeld univ,dept behav ecol,NA,bielefeld,NA,germany,NA,NA,NA,WOS:001297854700001,5,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
20,20,"Kosztolanyi, Andras",5,"Univ Vet Med Budapest, Dept Zool, Budapest, Hungary.",univ vet med budapest,dept zool,NA,budapest,NA,hungary,NA,B-8008-2016,0000-0002-9109-5871,WOS:001297854700001,5,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
21,21,"McDonald, Grant C.",1,"Univ Vet Med Budapest, Dept Zool, Budapest, Hungary.",univ vet med budapest,dept zool,NA,budapest,NA,hungary,NA,NA,NA,WOS:001297854700001,5,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
22,22,"Szekely, Tamas",3,"Univ Debrecen, Dept Evolutionary Zool & Human Biol, Debrecen, Hungary.",univ debrecen,dept evolutionary zool & human biol,NA,debrecen,NA,hungary,NA,I-7089-2016,0000-0003-2093-0056,WOS:001297854700001,5,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
23,23,"Bernatkova, Anna",1,"Zoo Praha, U Trojskeho Zamku 120-3, Prague, Czech Republic.",zoo praha,u trojskeho zamku 120-3,NA,prague,NA,czechia,NA,P-8476-2018,NA,WOS:001283571700001,6,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
24,24,"Bobek, Miroslav",4,"Zoo Praha, U Trojskeho Zamku 120-3, Prague, Czech Republic.",zoo praha,u trojskeho zamku 120-3,NA,prague,NA,czechia,NA,NA,NA,WOS:001283571700001,6,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
25,25,"Ceacero, Francisco",5,"Czech Univ Life Sci, Fac Trop AgriSci, Prague, Czech Republic.",czech univ life sci,fac trop agrisci,NA,prague,NA,czechia,NA,C-1088-2009,0000-0001-9014-147X,WOS:001283571700001,6,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
26,26,"Komarkova, Martina",3,"Zoo Praha, U Trojskeho Zamku 120-3, Prague, Czech Republic.",zoo praha,u trojskeho zamku 120-3,NA,prague,NA,czechia,NA,JXM-3682-2024,NA,WOS:001283571700001,6,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
27,27,"Oyunsaikhan, Ganbaatar",2,"We Help Them Surv Mongolia, Baikal Ordon 19920608, Ulaanbaatar, Mongolia.",we help them surv mongolia,baikal ordon 19920608,19920608,ulaanbaatar,NA,mongolia,NA,NA,NA,WOS:001283571700001,6,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
28,11785,"Binning, Sandra A.",4,"Univ Montreal, Dept Sci Biol, Montreal, PQ, Canada.",univ montreal,dept sci biol,NA,montreal,NA,canada,NA,NA,NA,WOS:001275191600001,7,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
29,2620,"Dubois, Frederique",2,"Univ Montreal, Dept Sci Biol, Montreal, PQ, Canada.",univ montreal,dept sci biol,NA,montreal,NA,canada,NA,NA,NA,WOS:001275191600001,7,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
30,30,"Gradito, Maryane",1,"Univ Montreal, Dept Sci Biol, Montreal, PQ, Canada.",univ montreal,dept sci biol,NA,montreal,NA,canada,NA,NA,0009-0004-6609-0229,WOS:001275191600001,7,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
31,31,"Noble, Daniel W. A.",3,"Australian Natl Univ, Res Sch Biol, Canberra, Australia.",australian natl univ,res sch biol,NA,canberra,NA,australia,NA,H-6214-2013,0000-0001-9460-8743,WOS:001275191600001,7,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
32,32,"Han, Chang S.",3,"Kyung Hee Univ, Dept Biol, Seoul, South Korea.",kyung hee univ,dept biol,NA,seoul,NA,south korea,NA,AAI-1865-2020,0000-0001-9261-4031,WOS:001263454200001,8,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
33,14245,"Lee, Won Young",2,"Korea Polar Res Inst, Div Life Sci, Incheon, South Korea.",korea polar res inst,div life sci,NA,incheon,NA,south korea,NA,NA,NA,WOS:001263454200001,8,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
34,34,"Park, Jikang",1,"Kyung Hee Univ, Dept Biol, Seoul, South Korea.",kyung hee univ,dept biol,NA,seoul,NA,south korea,NA,NA,NA,WOS:001263454200001,8,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
35,35,"Baglioni, Luca",6,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,NA,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
36,55919,"Barzaghi, Benedetta",3,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,NA,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
37,2400,"Ficetola, Gentile Francesco",8,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,A-2813-2008,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
38,38,"Lombardi, Bianca",4,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,NA,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
39,39,"Manenti, Raoul",1,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,D-4419-2013,0000-0001-6071-8194,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
40,39,"Manenti, Raoul",1,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,O-5166-2017,0000-0001-6071-8194,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
41,41,"Melotto, Andrea",7,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,R-5352-2017,0000-0001-6783-1501,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
42,42,"Teodoro, Chiara",5,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,NA,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
43,43,"Vinci, Lodovica",2,"Univ Milan, Dept Environm Sci & Policy, Milan, Italy.",univ milan,dept environm sci & policy,NA,milan,NA,italy,NA,NA,NA,WOS:001133919400001,9,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
44,44,"Farine, Damien R.",2,"Univ Zurich, Dept Evolutionary Biol & Environm Sci, Zurich, Switzerland.",univ zurich,dept evolutionary biol & environm sci,NA,zurich,NA,switzerland,NA,Y-2454-2019,0000-0003-2208-7613,WOS:001126771600001,10,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
45,45,"Klarevas-Irby, James A.",1,"Max Planck Inst Anim Behav, Dept Migrat, Radolfzell am Bodensee, Germany.",max planck inst anim behav,dept migrat,NA,radolfzell am bodensee,NA,germany,NA,AGP-4865-2022,0000-0001-7499-4085,WOS:001126771600001,10,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
46,46,"Kim, Minju",1,"Inha Univ, Program Biomed Sci & Engn, Incheon, South Korea.",inha univ,program biomed sci & engn,NA,incheon,NA,south korea,NA,NA,0000-0002-9924-2434,WOS:001111851700001,11,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
47,32863,"Kim, Taewon",4,"Inha Univ, Program Biomed Sci & Engn, Incheon, South Korea.",inha univ,program biomed sci & engn,NA,incheon,NA,south korea,NA,NA,0000-0002-6691-6578,WOS:001111851700001,11,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
48,48,"Lee, Hye Min",3,"Inha Univ, Dept Ocean Sci, Incheon, South Korea.",inha univ,dept ocean sci,NA,incheon,NA,south korea,NA,NA,0000-0003-3292-6118,WOS:001111851700001,11,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
49,49,"Park, Seojeong",2,"Inha Univ, Program Biomed Sci & Engn, Incheon, South Korea.",inha univ,program biomed sci & engn,NA,incheon,NA,south korea,NA,NA,NA,WOS:001111851700001,11,J,2024,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
