"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"1",1,1,"Fichtel, Claudia",2,"Leibniz Inst Primate Res, German Primate Ctr, Behav Ecol & Sociobiol Unit, D-37077 Gottingen, Germany.","leibniz inst primate res","german primate ctr","37077","gottingen",NA,"germany",NA,"LWK-0135-2024","0000-0002-8346-2168","WOS:001465611200001",1,"J","2025","SPRINGER"
"2",2,2,"Kappeler, Peter M.",4,"Leibniz Inst Primate Res, German Primate Ctr, Behav Ecol & Sociobiol Unit, D-37077 Gottingen, Germany.","leibniz inst primate res","german primate ctr","37077","gottingen",NA,"germany",NA,"B-6825-2012",NA,"WOS:001465611200001",1,"J","2025","SPRINGER"
"3",3,3,"Pethig, Leonie",1,"Leibniz Inst Primate Res, German Primate Ctr, Behav Ecol & Sociobiol Unit, D-37077 Gottingen, Germany.","leibniz inst primate res","german primate ctr","37077","gottingen",NA,"germany",NA,NA,NA,"WOS:001465611200001",1,"J","2025","SPRINGER"
"4",4,4,"Pfaff, Amrei",3,"Leibniz Inst Primate Res, German Primate Ctr, Behav Ecol & Sociobiol Unit, D-37077 Gottingen, Germany.","leibniz inst primate res","german primate ctr","37077","gottingen",NA,"germany",NA,NA,NA,"WOS:001465611200001",1,"J","2025","SPRINGER"
"5",5,5,"Brzezinski, Marcin",1,"Univ Warsaw, Fac Biol, ul Miecznikowa 1, PL-02096 Warsaw, Poland.","univ warsaw","fac biol","02096","warsaw",NA,"poland",NA,NA,"0000-0002-6300-0425","WOS:001444718500001",2,"J","2025","SPRINGER"
"6",6,6,"Zalewska, Karolina",2,"Univ East Anglia, Sch Environm Sci, Norwich, England.","univ east anglia","sch environm sci",NA,NA,NA,"england",NA,NA,NA,"WOS:001444718500001",2,"J","2025","SPRINGER"
"7",7,7,"Zalewski, Andrzej",3,"Polish Acad Sci, Mammal Res Inst, Ul Stoczek 1, PL-17230 Bialowieza, Poland.","polish acad sci","mammal res inst","17230","bialowieza",NA,"poland",NA,"K-7271-2012",NA,"WOS:001444718500001",2,"J","2025","SPRINGER"
"8",8,8,"Ryan, Michael J.",2,"Univ Texas Austin, Dept Integrat Biol, Austin, TX 78712 USA.","univ texas austin","dept integrat biol","78712","austin","tx","usa",NA,NA,NA,"WOS:001210963700001",3,"J","2024","SPRINGER"
"9",9,9,"Wilhite, Kyle O.",1,"Univ Texas Austin, Dept Integrat Biol, Austin, TX 78712 USA.","univ texas austin","dept integrat biol","78712","austin","tx","usa",NA,NA,NA,"WOS:001210963700001",3,"J","2024","SPRINGER"
"10",10,10,"Liu, Dapeng",6,"Ocean Univ China, Key Lab Mariculture, Minist Educ, 5 Yushan Rd, Qingdao 266003, Shandong, Peoples R China.","ocean univ china","key lab mariculture","266003","qingdao",NA,"china",NA,NA,NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"11",11,11,"Lu, Yunliang",4,"Qingdao Agr Univ, Sch Marine Sci & Engn, Qingdao 266109, Shandong, Peoples R China.","qingdao agr univ","sch marine sci & engn","266109","qingdao",NA,"china",NA,NA,NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"12",12,12,"Wang, Fang",5,"Ocean Univ China, Key Lab Mariculture, Minist Educ, 5 Yushan Rd, Qingdao 266003, Shandong, Peoples R China.","ocean univ china","key lab mariculture","266003","qingdao",NA,"china",NA,"HPC-5174-2023",NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"13",13,17337,"Wang, Xin",3,"Ocean Univ China, Key Lab Mariculture, Minist Educ, 5 Yushan Rd, Qingdao 266003, Shandong, Peoples R China.","ocean univ china","key lab mariculture","266003","qingdao",NA,"china",NA,NA,NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"14",14,17736,"Zhang, Hanzun",2,"Ocean Univ China, Key Lab Mariculture, Minist Educ, 5 Yushan Rd, Qingdao 266003, Shandong, Peoples R China.","ocean univ china","key lab mariculture","266003","qingdao",NA,"china",NA,NA,NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"15",15,15,"Zhu, Boshan",1,"Ocean Univ China, Key Lab Mariculture, Minist Educ, 5 Yushan Rd, Qingdao 266003, Shandong, Peoples R China.","ocean univ china","key lab mariculture","266003","qingdao",NA,"china",NA,NA,NA,"WOS:001201340700001",4,"J","2024","SPRINGER"
"16",16,16,"Edelman, Shimon",3,"Cornell Univ, Dept Psychol, Ithaca, NY USA.","cornell univ","dept psychol",NA,"ithaca","ny","usa",NA,NA,NA,"WOS:001075603200001",5,"J","2023","SPRINGER"
"17",17,17,"Odouard, Victor Vikram",1,"Santa Fe Inst, 1399 Hyde Pk Rd, Santa Fe, NM 87501 USA.","santa fe inst","1399 hyde pk rd","87501","santa fe","nm","usa",NA,NA,"0000-0002-9312-4525","WOS:001075603200001",5,"J","2023","SPRINGER"
"18",18,18,"Smirnova, Diana",2,"Cornell Univ, Dept Comp Sci, Ithaca, NY USA.","cornell univ","dept comp sci",NA,"ithaca","ny","usa",NA,NA,NA,"WOS:001075603200001",5,"J","2023","SPRINGER"
"19",19,19,"Kawakami, Renya",3,"Kagawa Univ, Fac Agr, Kagawa, Japan.","kagawa univ","fac agr",NA,"kagawa","kagawa","japan",NA,NA,NA,"WOS:001024918000001",6,"J","2023","SPRINGER"
"20",20,14237,"Matsumura, Kentarou",1,"Okayama Univ, Grad Sch Environm Life Sci & Technol, Okayama, Japan.","okayama univ","grad sch environm life sci & technol",NA,"okayama","okayama","japan",NA,NA,NA,"WOS:001024918000001",6,"J","2023","SPRINGER"
"21",21,21,"Miyatake, Takahisa",4,"Okayama Univ, Grad Sch Environm Life Sci & Technol, Okayama, Japan.","okayama univ","grad sch environm life sci & technol",NA,"okayama","okayama","japan",NA,"B-6580-2017","0000-0002-5476-0676","WOS:001024918000001",6,"J","2023","SPRINGER"
"22",22,22,"Wakabayashi, Kyosuke",2,"Okayama Univ, Grad Sch Environm Life Sci & Technol, Okayama, Japan.","okayama univ","grad sch environm life sci & technol",NA,"okayama","okayama","japan",NA,NA,NA,"WOS:001024918000001",6,"J","2023","SPRINGER"
